    lat     lon            mean              annu_cos              annu_sin          semiannu_cos         semiannu_sin
   0.000   80.500    1.4549944249e-04    -6.6920987907e-07     8.9635276508e-07     2.7018001831e-07     3.5313568521e-10 
   0.000   81.000    1.4547541171e-04    -6.5357336143e-07     8.8654043815e-07     2.8271885100e-07    -2.0647492938e-08 
   0.000   81.500    1.4544910954e-04    -6.4190496778e-07     8.9702620081e-07     2.8228033111e-07    -3.3848944637e-08 
   0.000   82.000    1.4542303804e-04    -6.2362283040e-07     9.0067579156e-07     3.0595742822e-07    -4.7898347656e-08 
   0.000   82.500    1.4541064082e-04    -6.3466675156e-07     8.7292686881e-07     3.3231948306e-07    -5.7514787723e-08 
   0.000   83.000    1.4540533040e-04    -6.3776501228e-07     8.5236589331e-07     3.5284352945e-07    -4.8361591539e-08 
   0.000   83.500    1.4538378276e-04    -6.4247474042e-07     8.3579165527e-07     3.6809983380e-07    -6.1314466924e-08 
   0.000   84.000    1.4535122704e-04    -6.5567028409e-07     8.2314739925e-07     3.8143992064e-07    -7.6362055195e-08 
   0.000   84.500    1.4532939542e-04    -6.5478331238e-07     8.2602208107e-07     4.0306110990e-07    -7.7686548593e-08 
   0.000   85.000    1.4528959054e-04    -6.5435062210e-07     8.2157675928e-07     4.1059298519e-07    -9.5255677004e-08 
   0.000   85.500    1.4526849772e-04    -6.4879859077e-07     8.0439098247e-07     3.9813003755e-07    -1.1018810088e-07 
   0.000   86.000    1.4522264640e-04    -6.3801641493e-07     7.7569078900e-07     3.9982506446e-07    -1.1313687976e-07 
   0.000   86.500    1.4519539603e-04    -5.9869013290e-07     7.6100498812e-07     3.9454307417e-07    -1.2448535672e-07 
   0.000   87.000    1.4515429611e-04    -5.7861319249e-07     7.2741856898e-07     3.9969480862e-07    -1.3294716407e-07 
   0.000   87.500    1.4513561938e-04    -5.5761000153e-07     7.0119973373e-07     4.0238388818e-07    -1.3610457693e-07 
   0.000   88.000    1.4512185385e-04    -5.3831236009e-07     6.8408180040e-07     3.9729504785e-07    -1.4974607372e-07 
   0.000   88.500    1.4507051084e-04    -4.9929749337e-07     6.6734622442e-07     3.8307659858e-07    -1.6139373482e-07 
   0.000   89.000    1.4503811309e-04    -4.5974448880e-07     6.4639755157e-07     3.7772406070e-07    -1.7602843377e-07 
   0.000   89.500    1.4499758269e-04    -4.0030138132e-07     6.3101506432e-07     3.8842048932e-07    -1.7035703958e-07 
   0.000   90.000    1.4494592765e-04    -3.6429661419e-07     5.9758592471e-07     3.9109808529e-07    -1.3491616354e-07 
   0.000   90.500    1.4491639498e-04    -3.2459709017e-07     5.9792835525e-07     3.8248974662e-07    -1.0798315187e-07 
   0.000   91.000    1.4487437308e-04    -2.8917038162e-07     6.1436593098e-07     3.4524415148e-07    -1.0990190460e-07 
